,Players,Salaries
117,Jarrett Jack,"$6,300,000"
118,Jodie Meeks,"$6,270,000"
119,Patrick Patterson,"$6,268,675"
120,Spencer Hawes,"$6,110,034"
121,Marco Belinelli,"$6,060,606"
122,Gerald Henderson,"$6,000,000"
123,Andrew Wiggins,"$5,758,680"
124,Kyle Korver,"$5,746,479"
125,Karl-Anthony Towns,"$5,703,600"
126,Bradley Beal,"$5,694,674"
127,Jamal Crawford,"$5,675,000"
128,Courtney Lee,"$5,675,000"
129,Martell Webster,"$5,613,500"
130,Nikola Mirotic,"$5,543,725"
131,Shaun Livingston,"$5,543,725"
132,Josh McRoberts,"$5,543,725"
133,Mirza Teletovic,"$5,500,000"
134,P.J. Tucker,"$5,500,000"
135,Brandan Wright,"$5,464,000"
136,Deron Williams,"$5,378,974"
137,Tim Duncan,"$5,250,000"
138,Nick Young,"$5,219,169"
139,Zaza Pachulia,"$5,200,000"
140,Victor Oladipo,"$5,192,520"
141,Tony Allen,"$5,158,539"
142,Jabari Parker,"$5,152,440"
143,Dion Waiters,"$5,138,430"
144,D'Angelo Russell,"$5,103,120"
145,Chris Kaman,"$5,016,000"
146,Darren Collison,"$5,013,559"
147,C.J. Watson,"$5,000,000"
148,Marcus Morris,"$5,000,000"
149,Jonas Jerebko,"$5,000,000"
150,JR Smith,"$5,000,000"
151,Chris Andersen,"$5,000,000"
152,Timofey Mozgov,"$4,950,000"
153,Trevor Booker,"$4,775,000"
154,Otto Porter Jr.,"$4,662,960"
155,Jonas Valanciunas,"$4,660,482"
156,Joel Embiid,"$4,626,960"
157,Jahlil Okafor,"$4,582,680"
158,Kyle Singler,"$4,500,000"
159,Mike Dunleavy,"$4,500,000"
160,CJ Miles,"$4,394,225"
161,Alexis Ajinca,"$4,389,607"
162,Jared Dudley,"$4,375,000"
163,Jameer Nelson,"$4,345,000"
164,Mario Chalmers,"$4,300,000"
165,Jason Smith,"$4,300,000"
166,J.J. Barea,"$4,290,000"
167,Damian Lillard,"$4,236,287"
168,Cody Zeller,"$4,204,200"
169,Aaron Gordon,"$4,171,680"
170,Kristaps Porzingis,"$4,131,720"
171,Vince Carter,"$4,088,019"
172,Devin Harris,"$4,053,446"
173,Lavoy Allen,"$4,050,000"
174,Ian Mahinmi,"$4,000,000"
175,Thabo Sefolosha,"$4,000,000"
176,Jordan Hill,"$4,000,000"
177,Derrick Williams,"$4,000,000"
178,Alan Anderson,"$4,000,000"
179,Raymond Felton,"$3,950,313"
180,Nemanja Bjelica,"$3,950,001"
181,Harrison Barnes,"$3,873,398"
182,Marreese Speights,"$3,815,000"
183,Alex Len,"$3,807,120"
184,Dante Exum,"$3,777,720"
185,Nick Collison,"$3,750,000"
186,Kyle O'Quinn,"$3,750,000"
187,Mario Hezonja,"$3,741,480"
188,Patty Mills,"$3,578,947"
189,Terrence Ross,"$3,553,917"
190,Matt Barnes,"$3,542,500"
191,Will Barton,"$3,533,333"
192,Nerlens Noel,"$3,457,800"
193,Marcus Smart,"$3,431,040"
194,Bojan Bogdanovic,"$3,425,510"
195,Evan Turner,"$3,425,510"
196,Willie Cauley-Stein,"$3,398,280"
197,Quincy Pondexter,"$3,382,023"
198,Paul Pierce,"$3,376,000"
199,Anthony Morrow,"$3,344,000"
200,Mike Scott,"$3,333,333"
201,Drew Gooden,"$3,300,000"
202,Andre Drummond,"$3,272,091"
203,KJ McDaniels,"$3,189,794"
204,Ben McLemore,"$3,156,600"
205,Randy Foye,"$3,135,000"
206,Julius Randle,"$3,132,240"
207,Austin Rivers,"$3,110,796"
208,Emmanuel Mudiay,"$3,102,240"
209,Meyers Leonard,"$3,075,880"
210,Norris Cole,"$3,036,927"
211,Jeremy Lamb,"$3,034,356"
212,Anthony Tolliver,"$3,000,000"
213,D.J. Augustin,"$3,000,000"
214,Jerryd Bayless,"$3,000,000"
215,Brandon Bass,"$3,000,000"
216,John Henson,"$2,943,221"
217,Tibor Pleiss,"$2,900,000"
218,Luis Scola,"$2,900,000"
219,Maurice Harkless,"$2,894,059"
220,Kentavious Caldwell-Pope,"$2,891,760"
221,Nik Stauskas,"$2,869,440"
222,Brian Roberts,"$2,854,940"
223,Udonis Haslem,"$2,854,940"
224,Kirk Hinrich,"$2,854,940"
225,Dante Cunningham,"$2,850,000"
226,Stanley Johnson,"$2,841,960"
227,Furkan Aldemir,"$2,836,768"
228,Omri Casspi,"$2,836,186"
229,Bismack Biyombo,"$2,814,000"
230,Manu Ginobili,"$2,814,000"
231,Darrell Arthur,"$2,814,000"
232,Sonny Weems,"$2,814,000"
233,Kevin Seraphin,"$2,814,000"
234,Luke Ridnour,"$2,750,000"
235,Trey Burke,"$2,658,240"
236,Noah Vonleh,"$2,637,720"
237,Tyler Zeller,"$2,616,975"
238,Frank Kaminsky,"$2,612,520"
239,Jared Sullinger,"$2,569,260"
240,CJ McCollum,"$2,525,160"
241,Elfrid Payton,"$2,505,720"
242,Leandro Barbosa,"$2,500,000"
243,Joel Anthony,"$2,500,000"
244,James Johnson,"$2,500,000"
245,Terrence Jones,"$2,489,530"
246,Justise Winslow,"$2,481,720"
247,Shelvin Mack,"$2,433,333"
248,Michael Carter-Williams,"$2,399,040"
249,Andrew Nicholson,"$2,380,593"
250,Doug McDermott,"$2,380,440"
251,Myles Turner,"$2,357,760"
252,Donatas Motiejunas,"$2,288,205"
253,Evan Fournier,"$2,288,205"
254,Steven Adams,"$2,279,040"
255,Aaron Brooks,"$2,250,000"
256,Trey Lyles,"$2,239,800"
257,Ramon Sessions,"$2,170,465"
258,Danny Granger,"$2,170,465"
259,Steve Blake,"$2,170,465"
260,Beno Udrih,"$2,170,465"
261,Kelly Olynyk,"$2,165,160"
262,Zach LaVine,"$2,148,360"
263,Kendall Marshall,"$2,144,772"
264,Jeremy Lin,"$2,139,000"
265,Gary Neal,"$2,139,000"
266,Devin Booker,"$2,127,840"
267,Miles Plumlee,"$2,109,294"
268,Mo Williams,"$2,100,000"
269,David Lee,"$2,085,671"
270,Shabazz Muhammad,"$2,056,920"
271,Joe Ingles,"$2,050,000"
272,T.J. Warren,"$2,041,080"
273,Perry Jones,"$2,038,206"
274,Cameron Payne,"$2,021,520"
275,Festus Ezeli,"$2,008,748"
276,Kent Bazemore,"$2,000,000"
277,DeJuan Blair,"$2,000,000"
278,Giannis Antetokounmpo,"$1,953,960"
279,Adreian Payne,"$1,938,840"
280,Kelly Oubre Jr.,"$1,920,240"
281,Lucas Nogueira,"$1,842,000"
282,Jusuf Nurkic,"$1,842,000"
283,Terry Rozier,"$1,824,360"
284,Dennis Schroder,"$1,763,400"
285,James Young,"$1,749,840"
286,Rashad Vaughn,"$1,733,040"
287,Ryan Kelly,"$1,724,250"
288,Joffrey Lauvergne,"$1,709,719"
289,Zoran Dragic,"$1,706,225"
290,Tyler Ennis,"$1,662,360"
291,Sam Dekker,"$1,646,400"
292,Lance Thomas,"$1,636,842"
293,Lou Amundson,"$1,635,476"
294,Sergey Karasev,"$1,599,840"
295,Gary Harris,"$1,584,480"
296,Jerian Grant,"$1,572,360"
297,Tony Snell,"$1,535,880"
298,Bruno Caboclo,"$1,524,000"
299,Delon Wright,"$1,509,360"
300,Wayne Ellington,"$1,500,000"
301,Shane Larkin,"$1,500,000"
302,David West,"$1,499,187"
303,Gorgui Dieng,"$1,474,440"
304,Mitch McGary,"$1,463,040"
305,Caron Butler,"$1,449,187"
306,Justin Anderson,"$1,449,000"
307,Mason Plumlee,"$1,415,520"
308,Jordan Adams,"$1,404,600"
309,Bobby Portis,"$1,391,160"
310,Andrea Bargnani,"$1,362,897"
311,Solomon Hill,"$1,358,880"
312,Rodney Hood,"$1,348,440"
313,Rondae Hollis-Jefferson,"$1,335,480"
314,Alonzo Gee,"$1,320,000"
315,Tim Hardaway Jr.,"$1,304,520"
316,Nikola Jokic,"$1,300,000"
317,Shabazz Napier,"$1,294,440"
318,Tyus Jones,"$1,282,080"
319,Sasha Kaun,"$1,276,000"
320,Brandon Rush,"$1,270,964"
321,JaVale McGee,"$1,270,964"
322,Cartier Martin,"$1,270,964"
323,Reggie Bullock,"$1,252,440"
324,Clint Capela,"$1,242,720"
325,Jarell Martin,"$1,230,840"
326,Andre Roberson,"$1,210,800"
327,P.J. Hairston,"$1,201,440"
328,Boban Marjanovic,"$1,200,000"
329,Earl Clark,"$1,185,784"
330,Reggie Williams,"$1,185,784"
331,Rudy Gobert,"$1,175,880"
332,Jordan Mickey,"$1,170,960"
333,Toney Douglas,"$1,164,858"
334,Archie Goodwin,"$1,160,160"
335,CJ Wilcox,"$1,159,680"
336,Larry Nance Jr.,"$1,155,600"
337,Chris Copeland,"$1,150,000"
338,Damjan Rudez,"$1,149,500"
339,RJ Hunter,"$1,148,640"
340,Matthew Dellavedova,"$1,147,276"
341,Kyle Anderson,"$1,142,880"
342,Josh Huestis,"$1,140,240"
343,Chris McCullough,"$1,140,240"
344,Kevon Looney,"$1,131,960"
345,Wesley Johnson,"$1,100,602"
346,Garrett Temple,"$1,100,602"
347,Luke Babbitt,"$1,100,602"
348,Henry Walker,"$1,100,602"
349,Cole Aldrich,"$1,100,602"
350,Jeremy Evans,"$1,100,602"
351,Glenn Robinson III,"$1,100,000"
352,Richaun Holmes,"$1,074,169"
353,Jon Leuer,"$1,035,000"
354,James Anderson,"$1,015,421"
355,Lester Hudson,"$1,015,421"
356,Joey Dorsey,"$1,015,421"
357,E'Twaun Moore,"$1,015,421"
358,Jordan Hamilton,"$1,015,421"
359,Rakeem Christmas,"$1,007,026"
360,Joe Young,"$1,007,026"
361,Kris Humphries,"$1,000,000"
362,Robert Covington,"$1,000,000"
363,Montrezl Harrell,"$1,000,000"
364,Edy Tavares,"$1,000,000"
365,Hassan Whiteside,"$981,348"
366,Jerel McNeal,"$981,348"
367,Quincy Acy,"$981,348"
368,John Jenkins,"$981,348"
369,Quincy Miller,"$981,348"
370,Chris Johnson,"$981,348"
371,Robert Sacre,"$981,348"
372,Thomas Robinson,"$981,348"
373,Pablo Prigioni,"$947,726"
374,Tyler Hansbrough,"$947,276"
375,Justin Holiday,"$947,276"
376,Ish Smith,"$947,276"
377,Henry Sims,"$947,276"
378,Mike Muscala,"$947,276"
379,Matt Bonner,"$947,276"
380,Dewayne Dedmon,"$947,276"
381,Grant Jerrett,"$947,276"
382,Ronnie Price,"$947,276"
383,Anthony Bennett,"$947,276"
384,Hollis Thompson,"$947,276"
385,Sasha Vujacic,"$947,276"
386,Ricky Ledo,"$947,276"
387,Tayshaun Prince,"$947,276"
388,Rasual Butler,"$947,276"
389,John Lucas III,"$947,276"
390,Jared Cunningham,"$947,276"
391,Jason Terry,"$947,276"
392,Isaiah Canaan,"$947,276"
393,Amar'e Stoudemire,"$947,276"
394,Metta World Peace,"$947,276"
395,Troy Daniels,"$947,276"
396,Luc Mbah a Moute,"$947,276"
397,Damien Wilkins,"$947,276"
398,Chuck Hayes,"$947,276"
399,Gerald Green,"$947,276"
400,Chris Babb,"$947,276"
401,Richard Jefferson,"$947,276"
402,Jamaal Franklin,"$947,276"
403,Donald Sloan,"$947,276"
404,Mike Miller,"$947,276"
405,Seth Curry,"$947,276"
406,Samuel Dalembert,"$947,276"
407,Charlie Villanueva,"$947,276"
408,Jeff Withey,"$947,276"
409,James Jones,"$947,276"
410,Kendrick Perkins,"$947,276"
411,Austin Daye,"$947,276"
412,Willie Reed,"$947,276"
413,Nate Robinson,"$947,276"
414,Ian Clark,"$947,276"
415,Josh Smith,"$947,276"
416,Allen Crabbe,"$947,276"
417,Jason Richardson,"$947,276"
418,Raul Neto,"$900,000"
419,Jimmer Fredette,"$874,837"
420,Damien Inglis,"$855,000"
421,Russ Smith,"$845,059"
422,Jarnell Stokes,"$845,059"
423,Eric Moreland,"$845,059"
424,David Stockton,"$845,059"
425,Nick Johnson,"$845,059"
426,Jack Cooley,"$845,059"
427,Terrico White,"$845,059"
428,Elijah Millsap,"$845,059"
429,Tyler Johnson,"$845,059"
430,James Michael McAdoo,"$845,059"
431,James Ennis III,"$845,059"
432,Devyn Marble,"$845,059"
433,Johnny O'Bryant III,"$845,059"
434,Cleanthony Early,"$845,059"
435,Joe Harris,"$845,059"
436,Spencer Dinwiddie,"$845,059"
437,Jabari Brown,"$845,059"
438,Marcus Landry,"$845,059"
439,Keith Benson,"$845,059"
440,JaMychal Green,"$845,059"
441,Shayne Whittington,"$845,059"
442,Markel Brown,"$845,059"
443,Tarik Black,"$845,059"
444,Langston Galloway,"$845,059"
445,Tim Frazier,"$845,059"
446,Adonis Thomas,"$845,059"
447,Cameron Bairstow,"$845,059"
448,Jerami Grant,"$845,059"
449,Dwight Powell,"$845,059"
450,Jordan Clarkson,"$845,059"
451,Kostas Papanikolaou,"$800,321"
452,Bryce Cotton,"$700,902"
453,Anthony Brown,"$700,000"
454,Norman Powell,"$650,000"
455,Pat Connaughton,"$625,093"
456,Darrun Hilliard,"$600,000"
457,Jarell Eddie,"$561,716"
458,Jarrid Famous,"$525,093"
459,Ronald Roberts Jr.,"$525,093"
460,Jonathon Simmons,"$525,093"
461,Duje Dukan,"$525,093"
462,Kyle Casey,"$525,093"
463,Deonte Burton,"$525,093"
464,Scottie Wilbekin,"$525,093"
465,Josh Richardson,"$525,093"
466,Melvin Ejim,"$525,093"
467,Branden Dawson,"$525,093"
468,Maurice Ndour,"$525,093"
469,Shannon Scott,"$525,093"
470,Treveon Graham,"$525,093"
471,J.J. O'Brien,"$525,093"
472,Corey Hawkins,"$525,093"
473,Greg Whittington,"$525,093"
474,Robert Upshaw,"$525,093"
475,Jamil Wilson,"$525,093"
476,T.J. McConnell,"$525,093"
477,Marcelo Huertas,"$525,093"
478,Michael Frazier,"$525,093"
479,Christian Wood,"$525,093"
480,Luis Montero,"$525,093"
481,Brandon Ashley,"$525,093"
482,Salah Mejri,"$525,093"
483,Aaron Harrison,"$525,093"
484,Pierre Jackson,"$525,093"
485,Cristiano Felicio,"$525,093"
486,Bo McCalebb,"$525,093"
487,Cliff Alexander,"$525,093"
488,Jonathan Holmes,"$525,093"
489,Terran Petteway,"$525,093"
490,Lamar Patterson,"$525,093"
491,Michael Beasley,"$306,527"
492,Steve Novak,"$295,327"
493,Anderson Varejao,"$289,755"
494,JJ Hickson,"$273,038"
495,Joe Johnson,"$261,894"
496,JaKarr Sampson,"$258,489"
497,Andre Miller,"$250,750"
498,Jason Thompson,"$245,177"
499,Ryan Hollins,"$239,605"
500,Nazr Mohammed,"$222,888"
501,Ty Lawson,"$211,744"
502,Chase Budinger,"$206,192"
503,Kevin Martin,"$200,600"
504,Marcus Thornton,"$200,600"
505,Andrew Goudelock,"$200,600"
506,Jorge Gutierrez,"$189,455"
507,Bryce Dejean-Jones,"$169,883"
508,Tony Wroten,"$167,406"
509,Sean Kilpatrick,"$134,215"
510,Lorenzo Brown,"$111,444"
511,Jeff Ayres,"$111,444"
512,Jordan McRae,"$111,196"
513,Erick Green,"$99,418"
514,Alan Williams,"$83,397"
515,Keith Appling,"$61,776"
516,Orlando Johnson,"$55,722"
517,Elliot Williams,"$55,722"
518,Phil Pressey,"$55,722"
519,Cory Jefferson,"$49,709"
520,Thanasis Antetokounmpo,"$30,888"
